species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,formal_charge,solvent
ONIBWKKTOPOVIA-BYPYZUCNSA-N,0,0,O=C(O)[C@@H]1CCCN1,False,5,"[""conf 2/5"", ""conf 1/5"", ""conf 3/5"", ""conf 5/5"", ""conf 4/5""]","[-251743.71461608392, -251743.48903314484, -251743.2103573508, -251742.35560880654, -251741.3250261996]","[-16540.514897359208, -16540.990046661358, -16539.326090926024, -16539.954368858227, -16538.209127278806]","[-10.379634210477738, -10.363318964152096, -10.12925793032656, -10.660130945383942, -10.455562856839371]","[68.88357735954966, 68.81962248689912, 68.5116328852289, 69.00859530587819, 68.19817953535016]","[-251685.21067293486, -251685.0327296221, -251684.8279823959, -251684.00714444605, -251683.58240952107]",-11.375543273868086,-251744.18950041858,-16541.301647898123,67.653246521419049,-251685.74399601555,7.8122929439705331,1.8773650058739326e-06,conformer_refined,false,0,water
ONIBWKKTOPOVIA-BYPYZUCNSA-N,0,1,O=C([O-])[C@@H]1CCC[NH2+]1,True,2,"[""conf 1/2"", ""conf 2/2""]","[-251732.27459772775, -251729.88013171082]","[-16525.53279249342, -16523.842186318398]","[-29.896433872788272, -31.06799406086408]","[68.64512116904658, 69.166990705153]","[-251693.5259104315, -251691.78113506653]",-31.144811498558482,-251732.28491900131,-16525.565999304799,68.439684551592791,-251693.55628895952,0,0.9999981226349941,conformer_refined,false,0,water
