species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,screening_skipped_postopt,solvent,degeneracy,formal_charge
KDXKERNSBIXSRK-UHFFFAOYSA-N,0,0,NCCCCC(N)C(=O)O,False,10,"[""conf 5/10"", ""conf 1/10"", ""conf 7/10"", ""conf 6/10"", ""conf 8/10"", ""conf 2/10"", ""conf 10/10"", ""conf 4/10"", ""conf 3/10"", ""conf 9/10""]","[-311902.88252023037, -311902.37025695003, -311901.2474539162, -311901.1920274966, -311900.93509781366, -311900.8413839537, -311900.9048549105, -311900.7220975145, -311899.5468650067, -311900.2119431322]","[-21306.882158441236, -21306.272238689628, -21306.018751828702, -21306.230710205506, -21304.75992392505, -21304.43176617328, -21304.023772614382, -21304.66131455931, -21304.376064825432, -21303.955024051276]","[-15.494463933566065, -15.325663885043092, -15.51140668936577, -14.959825861664305, -15.375237133494077, -15.321898828198714, -14.978651145886197, -15.085327756476923, -15.237185049200196, -15.26040289974053]","[106.07440037157654, 105.5203847613075, 105.28369407121974, 105.23201779316497, 105.7790123335882, 105.703664757862, 105.77733932869688, 105.84037794401637, 105.25194403773902, 106.3387990832292]","[-311812.30258379236, -311812.17553607374, -311811.4751665343, -311810.9198355651, -311810.53132261353, -311810.45961802406, -311810.10616672767, -311809.96704732697, -311809.53210601816, -311809.1335469487]",-16.646807647771031,-311903.19259860448,-21307.298798424083,104.22212876901102,-311812.79717563943,13.434066742833238,1.4215451141407896e-10,conformer_refined,false,,,,,,,,,dmso,,0
KDXKERNSBIXSRK-UHFFFAOYSA-N,0,1,NC(CCCC[NH3+])C(=O)[O-],True,9,"[""conf 8/10"", ""conf 7/10"", ""conf 3/10"", ""conf 2/10"", ""conf 4/10"", ""conf 9/10"", ""conf 10/10"", ""conf 6/10"", ""conf 1/10""]","[-311890.0224367849, -311891.93923738494, -311891.012686376, -311891.39248984924, -311890.3151757552, -311886.6314406428, -311888.48349934287, -311890.1477642182, -311892.4202416316]","[-21287.374424856964, -21289.0025074526, -21288.32808623496, -21292.890823093287, -21287.11326563536, -21287.682269296867, -21288.445336247787, -21287.399082782136, -21292.427366236036]","[-44.43206332998592, -41.34534422706953, -40.51640421183218, -36.43884764937015, -37.41776242890859, -40.59547040556413, -36.06296947440636, -32.42655207221069, -30.058331317096552]","[108.31988956446921, 108.20670312666888, 108.18219654799898, 107.71672414474972, 108.24311940217495, 107.94329047022606, 107.91157048942908, 107.66906681010748, 108.47088515992766]","[-311826.13461055036, -311825.0778784854, -311823.34689403983, -311820.11461335386, -311819.48981878196, -311819.2836205782, -311816.6348983279, -311814.90524948033, -311814.0076877888]",-44.436996722823871,-311892.76271335204,-21293.11512123912,106.71410719765218,-311826.23124238226,0,0.99999977870124723,conformer_refined,false,,,,,,,,,dmso,,0
KDXKERNSBIXSRK-UHFFFAOYSA-N,0,2,NCCCCC([NH3+])C(=O)[O-],True,10,"[""conf 3/10"", ""conf 5/10"", ""conf 6/10"", ""conf 9/10"", ""conf 7/10"", ""conf 8/10"", ""conf 10/10"", ""conf 4/10"", ""conf 1/10"", ""conf 2/10""]","[-311885.9656309159, -311884.2087812364, -311884.6650918162, -311884.0063359735, -311883.88453620323, -311883.98340639827, -311883.668025835, -311884.7400598472, -311889.73580252286, -311886.7884143547]","[-21286.38978148947, -21284.98357925843, -21285.50142787384, -21286.046743845873, -21284.86171301295, -21285.320337054527, -21285.52306886712, -21285.401567861645, -21293.585055942774, -21290.812032316146]","[-37.15295343085396, -38.03272171349043, -36.99293851496787, -37.59974017638689, -37.64303833009724, -37.68445395538541, -36.863671563310874, -36.34597624720882, -32.508128303838895, -34.204286412231454]","[106.11911417034513, 106.66393301807753, 106.31531525401316, 106.37872504934417, 106.34668356846072, 107.28348940318084, 106.23197236358715, 106.85068369925202, 108.03805665857963, 107.31419572023364]","[-311816.9994701764, -311815.57756993175, -311815.34271507716, -311815.2273511006, -311815.18089096487, -311814.38437095046, -311814.29972503474, -311814.23535239516, -311814.20587416814, -311813.6785050467]",-38.713151359838513,-311889.74131318333,-21293.590534408129,105.18079907383745,-311817.15176923265,9.0794731496134773,2.211565982352994e-07,conformer_refined,false,,,,,,,,,dmso,,0
KDXKERNSBIXSRK-UHFFFAOYSA-N,0,3,[NH-]CCCCC([NH3+])C(=O)O,True,1,,[-311746.7940763644],[-21174.506147156168],[-57.47986782417996],[102.8379262531568],[-311701.4360179354],-57.479867824179962,,-21174.506147156168,102.83792625315679,-311738.92007810209,87.311164280166849,1.0010882529463944e-64,post_xtb_screened_out,,-311701.4360179354,-57.479867824179962,-311746.79407636437,-21174.506147156168,102.83792625315679,87.311164280166849,-311738.92007810209,true,dmso,1,0
KDXKERNSBIXSRK-UHFFFAOYSA-N,0,4,[NH-]C(CCCC[NH3+])C(=O)O,True,1,,[-311758.86820988014],[-21156.625040154162],[-84.2494219877118],[99.83707664983287],[-311743.28055521805],-84.249421987711798,,-21156.625040154162,99.837076649832866,-311780.76461538475,45.466626997513231,4.706857409873698e-34,post_xtb_screened_out,,-311743.28055521805,-84.249421987711798,-311758.86820988014,-21156.625040154162,99.837076649832866,45.466626997513231,-311780.76461538475,true,dmso,1,0
