species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,solvation_free_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,screening_skipped_postopt,solvent,degeneracy,conformer_labels,gas_sp_energy_kcal_mol,connectivity_mismatch,formal_charge
YYLMIJSKUVAEAE-UHFFFAOYSA-N,0,0,CCC(C)C(C(C)CC)(C(C)CC)C(C(=O)O)N(C)C,False,1,[-548261.4036368894],[-40806.64536161667],[-15.077170133314103],[291.20374055767087],[-547985.2770664651],-547985.27706646512,-15.077170133314103,-548261.40363688942,-40806.645361616669,291.20374055767087,88.817158403457142,-548084.11203181639,-15.077170133314103,-40806.645361616669,291.20374055767087,-548084.11203181639,88.817158403457142,7.8808145620055507e-66,post_xtb_screened_out,true,dmso,1,,,,0
YYLMIJSKUVAEAE-UHFFFAOYSA-N,0,1,CCC(C)C(C(C)CC)(C(C)CC)C(C(=O)[O-])[NH+](C)C,True,3,"[-548423.1073091142, -548422.0578282619, -548418.3027153844]","[-40954.2383229604, -40953.15255285809, -40948.582161798586]","[-33.21533148110801, -33.34083337592063, -33.78071751723886]","[283.52389567241494, 283.43034349150025, 284.8639262500491]","[-548172.7987449229, -548171.9683181463, -548167.2195066516]",,,,,,,,-34.148733361767917,-40954.326297015374,283.03682791599419,-548172.92919021985,0,1,conformer_refined,,dmso,,"[""conf 1/3"", ""conf 2/3"", ""conf 3/3""]",-548423.20053851802,false,0
