species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,formal_charge,solvent
WHUUTDBJXJRKMK-VKHMYHEASA-N,0,0,N[C@@H](CCC(=O)O)C(=O)O,False,10,"[""conf 10/10"", ""conf 6/10"", ""conf 7/10"", ""conf 1/10"", ""conf 2/10"", ""conf 5/10"", ""conf 8/10"", ""conf 9/10"", ""conf 4/10"", ""conf 3/10""]","[-346196.3048047257, -346196.7070647048, -346196.49189108866, -346195.68885089946, -346197.4991346516, -346196.09222202847, -346195.0399813035, -346196.53657747345, -346194.63615413074, -346193.89912837127]","[-21645.44990723471, -21646.713029938073, -21647.06074066418, -21645.546115998317, -21646.814883247924, -21645.495689625637, -21645.628764070094, -21646.253996733336, -21643.881421705042, -21644.42688049384]","[-15.423555362996936, -15.57227510834989, -15.604905601001171, -15.474383630396048, -15.026969375389056, -15.505759104099202, -15.579177712564583, -14.516176663501692, -15.067129981729096, -15.486933819877308]","[68.89867224992301, 69.59427997455036, 69.49071574443498, 68.62999775272003, 70.0514890971016, 69.40478932408566, 69.11030078265031, 69.70142355384633, 68.83844134667902, 69.52098981790184]","[-346142.82968783873, -346142.68505983864, -346142.60608094523, -346142.5332367771, -346142.4746149299, -346142.1931918085, -346141.5088582334, -346141.3513305831, -346140.8648427658, -346139.86507237324]",-16.761842648034019,-346197.89229428023,-21647.669306822638,67.81441770483454,-346143.67983936489,6.6813728935085237,1.2317389561478789e-05,conformer_refined,false,0,water
WHUUTDBJXJRKMK-VKHMYHEASA-N,0,1,[NH3+][C@@H](CCC(=O)[O-])C(=O)O,True,1,"[""conf 1/2""]",[-346177.17334008287],[-21625.467630866948],[-41.11504825008837],[70.04550877619143],[-346148.2428795567],-41.115048250088371,-346177.17334008287,-21625.467630866948,70.045508776191426,-346148.24287955672,2.1183327016769908,0.027242712566509415,conformer_refined,false,0,water
WHUUTDBJXJRKMK-VKHMYHEASA-N,0,2,[NH3+][C@@H](CCC(=O)O)C(=O)[O-],True,10,"[""conf 7/10"", ""conf 5/10"", ""conf 10/10"", ""conf 3/10"", ""conf 1/10"", ""conf 4/10"", ""conf 2/10"", ""conf 6/10"", ""conf 9/10"", ""conf 8/10""]","[-346180.9884965469, -346180.72610927426, -346177.0516689313, -346181.66744039545, -346186.8079782454, -346179.9168655251, -346183.9736156945, -346180.2308394299, -346175.16101174324, -346177.82903805806]","[-21628.772268746667, -21627.75449188434, -21625.108904458637, -21629.86233024132, -21633.941610819547, -21627.60919425249, -21632.961087170348, -21628.107732525128, -21624.331794032685, -21627.050382137386]","[-38.868564332942476, -38.73741485286329, -41.89943509266725, -36.843591260140855, -32.41525690167756, -38.528454198000276, -34.24319199962337, -37.11718539083237, -42.177421789677204, -38.760005193929565]","[69.8180253688366, 70.06078079429153, 69.92995759905855, 69.81143109140199, 71.09548357508304, 70.54254627834928, 70.78742495050821, 70.00337651814112, 70.35908741963183, 70.32608188025564]","[-346150.039035511, -346149.40274333284, -346149.021146425, -346148.6996005642, -346148.127751572, -346147.9027734448, -346147.4293827436, -346147.3446483026, -346146.9793461133, -346146.26296137174]",-42.469739320473188,-346186.81307983206,-21634.045871406273,68.790517020272745,-346150.3612122584,0,0.97274497004392901,conformer_refined,false,0,water
