species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,formal_charge,solvent
YQVSNVIZEPMSPN-UHFFFAOYSA-N,0,0,CN(C)C(C(=O)O)C(C1CCCCC1)(C1CCCCC1)C1CCCCC1,False,3,"[""conf 2/3"", ""conf 3/3"", ""conf 1/3""]","[-694189.091438175, -694188.3488036372, -694187.4349145778]","[-50994.36820480434, -50995.264244447804, -50994.04538102743]","[-19.14468654419112, -19.124606241021098, -19.26014828741873]","[351.57486219298056, 351.1127095150246, 350.8714801681378]","[-693856.6612625262, -693856.3607003632, -693855.823582697]",-19.83046356268234,-694189.26774542662,-50995.441263113164,350.46956667528724,-693857.02425383637,0,0.99872815178519081,conformer_refined,false,0,dmso
YQVSNVIZEPMSPN-UHFFFAOYSA-N,0,1,C[NH+](C)C(C(=O)[O-])C(C1CCCCC1)(C1CCCCC1)C1CCCCC1,True,1,"[""conf 1/1""]",[-694166.717465666],[-50963.51240964153],[-38.96269075405194],[352.6054140669997],[-693853.074742353],-38.962690754051941,-694166.71746566601,-50963.512409641531,352.60541406699969,-693853.07474235306,3.9495114833116531,0.0012718482148091524,conformer_refined,false,0,dmso
