microstate ID,canonical isomeric SMILES,charge
SM42_micro000,O=S(=O)(N=c1cc(o[nH]1)-c1ccccc1)c1ccccc1,0
SM42_micro003,c1ccc(cc1)c2cc(no2)NS(=O)(=O)c3ccccc3,0
