species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,screening_skipped_postopt,solvent,degeneracy,formal_charge
CJCSPKMFHVPWAR-UHFFFAOYSA-N,9,0,CC(N)(CC1=CC(=O)C(=O)CC1)C(=O)O,False,10,"[""conf 6/10"", ""conf 3/10"", ""conf 5/10"", ""conf 2/10"", ""conf 4/10"", ""conf 1/10"", ""conf 10/10"", ""conf 8/10"", ""conf 9/10"", ""conf 7/10""]","[-467241.28859314445, -467238.6081134197, -467239.25417119206, -467238.57530100195, -467238.92449481407, -467239.0973669749, -467239.2827724571, -467236.6248708551, -467238.1955112304, -467236.5616871791]","[-29618.062647939347, -29615.231280050597, -29617.32542239772, -29615.449636343317, -29615.432313459223, -29615.650360284984, -29615.401837584985, -29614.054686056825, -29615.166180023356, -29614.668614441856]","[-24.791644301284958, -24.78662422549245, -25.172542552041257, -25.76993157134933, -25.344480147934547, -25.07967114987992, -24.1327593535187, -25.841467651392524, -24.257006229383197, -24.02984779977235]","[112.66183049183479, 111.7183950785071, 112.88144531504817, 112.87655961978203, 112.95874079125103, 113.02809409527643, 112.73309349105006, 112.700724507952, 112.89402420555776, 111.81915787540676]","[-467153.41840695386, -467151.6763425667, -467151.5452684291, -467151.4686729535, -467151.31023417076, -467151.1489440295, -467150.68243831955, -467149.7656139985, -467149.5584932542, -467148.77237710345]",-26.571521432548444,-467241.36446810886,-29618.245134559991,111.05374132097067,-467153.52468936954,24.111589837586507,2.1187558716486227e-18,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,9,1,CC([NH3+])(CC1=CC(=O)C(=O)CC1)C(=O)[O-],True,6,"[""conf 5/6"", ""conf 3/6"", ""conf 1/6"", ""conf 6/6"", ""conf 4/6"", ""conf 2/6""]","[-467221.383933308, -467225.35813774366, -467228.5884725453, -467219.3183447831, -467221.1709699378, -467224.2321894691]","[-29594.153888451525, -29597.50744488839, -29599.89996112736, -29592.967541770133, -29594.688671884738, -29597.41813903334]","[-51.623321902749055, -47.24267826431455, -42.84258183218409, -51.94209671557311, -49.191095181280474, -43.98088401813455]","[112.43095557335785, 112.62653146745434, 113.1175390246253, 112.98459625110868, 113.00000777209499, 112.90609743387292]","[-467160.57629963744, -467159.9742845405, -467158.3135153529, -467158.27584524755, -467157.36205734697, -467155.30697605334]",-52.218298181559788,-467228.59139041527,-29599.919206543829,111.73140114893714,-467160.77949010883,16.856789098295849,4.404400097941095e-13,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,10,0,CC(N)(CC1=CC(=O)C(O)=CC1)C(=O)O,False,5,"[""conf 1/5"", ""conf 2/5"", ""conf 4/5"", ""conf 3/5"", ""conf 5/5""]","[-467245.08571321546, -467242.38004126685, -467243.02496630565, -467242.97168455215, -467241.69632661255]","[-29627.059929074603, -29623.74876758506, -29624.550394248305, -29624.00343768413, -29623.678164283418]","[-22.680702430536687, -23.805826917531824, -24.015415081868902, -22.170537228123386, -22.755376057950194]","[111.16436117006181, 111.22166618048851, 112.19036962448492, 111.65045657051961, 111.16252653881025]","[-467156.6020544759, -467154.9642020039, -467154.85001176305, -467153.49176520976, -467153.28917613166]",-24.41738854483831,-467245.1273181159,-29627.075875600058,110.41737437966506,-467156.67129298794,20.964986219187267,4.2909887612607786e-16,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,10,1,CC([NH3+])(CC1=CC(=O)C(O)=CC1)C(=O)[O-],True,4,"[""conf 3/4"", ""conf 2/4"", ""conf 1/4"", ""conf 4/4""]","[-467228.4652298659, -467226.55991638335, -467229.1152530082, -467222.1859849383]","[-29604.43907788714, -29604.141157056503, -29607.00359399102, -29599.423973406036]","[-46.25811589950955, -44.74958312386185, -41.7915034631284, -45.532087438018536]","[111.30548300183737, 111.38076472358182, 111.48395643207041, 112.81311281456973]","[-467163.41786276357, -467159.9287347836, -467159.42280003923, -467154.90495956177]",-46.445742370098039,-467229.29184622783,-29607.016004781832,110.71719512525971,-467163.420198248,14.216080959129613,3.797862716430968e-11,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,10,2,CC([NH3+])(CC1=CC(=O)C([O-])=CC1)C(=O)O,True,1,,[-467112.6951596945],[-29498.99361538693],[-86.91006215773936],[109.76078574952773],[-467089.84443610266],-86.910062157739361,,-29498.993615386931,109.76078574952773,-467125.87006085319,51.766218353935983,1.1352657799642605e-38,post_xtb_screened_out,,-467089.84443610266,-86.910062157739361,-467112.69515969447,-29498.993615386931,109.76078574952773,51.766218353935983,-467125.87006085319,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,11,0,CC(N)(CC1=CC(=O)C(O)C=C1)C(=O)O,False,8,"[""conf 7/8"", ""conf 1/8"", ""conf 3/8"", ""conf 6/8"", ""conf 5/8"", ""conf 4/8"", ""conf 8/8"", ""conf 2/8""]","[-467233.54241405573, -467234.63339441124, -467233.92707678163, -467233.9361535813, -467232.9879660839, -467232.7726488089, -467230.741624186, -467233.22098237654]","[-29613.957100940286, -29614.133157922526, -29613.38734364806, -29613.373769621656, -29613.25172329601, -29613.125265987277, -29610.055833119393, -29612.78759115699]","[-21.65409693096945, -21.233038073873114, -21.485924391920545, -21.019057343217597, -21.5172998656237, -22.07954835438424, -22.27846885766224, -21.233038073873114]","[110.61090866169442, 111.3620280066746, 111.49655330637401, 111.31377643687566, 111.24672681111842, 112.04447433253272, 110.34264330506112, 112.16938790081787]","[-467144.58560232504, -467144.5044044784, -467143.91644786723, -467143.6414344876, -467143.2585391384, -467142.80772283074, -467142.67744973855, -467142.2846325496]",-22.941985454171665,-467235.03497033549,-29614.746798393691,109.80657037458366,-467145.15515743225,32.481121774879284,1.5529999301276359e-24,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,11,1,CC([NH3+])(CC1=CC(=O)C(O)C=C1)C(=O)[O-],True,7,"[""conf 4/7"", ""conf 3/7"", ""conf 1/7"", ""conf 5/7"", ""conf 7/7"", ""conf 2/7"", ""conf 6/7""]","[-467220.2293998146, -467220.02986223856, -467223.39652217453, -467222.59719320247, -467218.55108237907, -467220.34774148115, -467219.57188498543]","[-29594.77663666984, -29594.03084524739, -29596.949490026527, -29597.216736961014, -29594.777012450122, -29595.96494524203, -29595.63376787639]","[-44.42578823524529, -44.46971389842971, -39.99996391467825, -40.558447346594406, -43.19335962818537, -39.91274009778348, -40.81823626885652]","[111.80291010203732, 111.84623436578939, 111.82795937976583, 111.84006094201627, 111.72449525184427, 111.65613350503179, 112.38541886556756]","[-467152.8522779478, -467152.6533417712, -467151.56852670945, -467151.3155796071, -467150.01994675543, -467148.6043480739, -467148.0047023888]",-44.894729831792013,-467223.54061414732,-29597.585741614948,110.68269387588408,-467153.23677126138,24.399507945752703,1.3032732497675306e-18,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,11,2,CC([NH3+])(CC1=CC(=O)C([O-])C=C1)C(=O)O,True,1,,[-467108.9646489761],[-29495.48093545531],[-82.63672263936964],[110.02695181902376],[-467081.57441979647],-82.636722639369637,,-29495.480935455311,110.02695181902376,-467117.600044547,60.036234660132322,9.8431369616181501e-45,post_xtb_screened_out,,-467081.57441979647,-82.636722639369637,-467108.96464897611,-29495.480935455311,110.02695181902376,60.036234660132322,-467117.600044547,true,dmso,1,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,12,0,CC(N)(CC1=CC(O)C(=O)C=C1)C(=O)O,False,10,"[""conf 4/10"", ""conf 1/10"", ""conf 3/10"", ""conf 2/10"", ""conf 7/10"", ""conf 9/10"", ""conf 8/10"", ""conf 10/10"", ""conf 5/10"", ""conf 6/10""]","[-467234.4599770834, -467235.1936780191, -467234.1261242138, -467233.71505195217, -467232.28477560566, -467231.75793439674, -467232.0606750944, -467232.4236433588, -467232.8074255835, -467231.4789314318]","[-29613.30583492704, -29613.18189778483, -29613.10188712408, -29613.20480878575, -29611.81018451866, -29611.04824913487, -29611.28367984241, -29611.427975912036, -29611.875763134198, -29610.93718165349]","[-21.03537258954324, -20.87975023997559, -20.877867711553403, -21.111928745378936, -21.625859004636617, -21.880000341632172, -21.596366059355653, -20.97450417055912, -20.965719037922238, -20.868455069442454]","[110.44208399722982, 111.7401876071656, 110.89653905035293, 111.01151022361647, 111.15340293572069, 110.94270630037055, 111.02277532640565, 111.08351803076924, 111.46058663011092, 110.91737979962407]","[-467145.05326567567, -467144.3332406519, -467144.107452875, -467143.81547047396, -467142.75723167456, -467142.695228438, -467142.6342658274, -467142.3146294986, -467142.3125579913, -467141.43000670156]",-22.665604058278831,-467235.46536891902,-29614.072666480373,109.61617489919067,-467145.36806933332,32.268209873815067,2.2245232165181354e-24,conformer_refined,false,,,,,,,,,dmso,,0
CJCSPKMFHVPWAR-UHFFFAOYSA-N,12,1,CC([NH3+])(CC1=CC(O)C(=O)C=C1)C(=O)[O-],True,8,"[""conf 2/10"", ""conf 1/10"", ""conf 5/10"", ""conf 8/10"", ""conf 10/10"", ""conf 6/10"", ""conf 9/10"", ""conf 4/10""]","[-467222.7256459217, -467223.9712127768, -467219.90761607373, -467217.94870652066, -467214.2064123942, -467218.73576755135, -467217.2294844781, -467218.60853933526]","[-29596.13663340793, -29596.778318475375, -29593.473701942905, -29593.133332974732, -29590.86815379521, -29594.12570704999, -29592.885610032426, -29593.77722676446]","[-41.54740227771786, -40.563467422386914, -42.623581025736065, -43.906837900195114, -46.26188095635392, -42.20503220653598, -43.43683330412185, -41.73126255361834]","[110.84963990528773, 111.99542081880362, 111.52410121136649, 111.55342100419321, 110.86298375118153, 111.70782222095185, 111.56968018317485, 111.75451929416118]","[-467153.42340829415, -467152.53925938037, -467151.00709588814, -467150.3021234166, -467149.60530959937, -467149.232977537, -467149.09663759905, -467148.5852825947]",-46.280192110799909,-467224.04022860172,-29596.962065831634,110.10803533426352,-467153.55578181002,24.080497397109866,2.2329131745275817e-18,conformer_refined,false,,,,,,,,,dmso,,0
