species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,formal_charge,solvent
QNAYBMKLOCPYGJ-REOHCLBHSA-N,0,0,C[C@H](N)C(=O)O,False,2,"[""conf 1/2"", ""conf 2/2""]","[-203172.0018162152, -203169.135152279]","[-13205.4535578658, -13203.415060098874]","[-9.706944054282094, -10.245347183028235]","[46.47784795969045, 46.38338572625843]","[-203135.23091230978, -203132.99711373576]",-10.445986913396181,-203172.00649016383,-13205.472246630941,46.018056999840994,-203135.24441233001,6.4849274581938516,1.7640363312641237e-05,conformer_refined,false,0,water
QNAYBMKLOCPYGJ-REOHCLBHSA-N,0,1,C[C@H]([NH3+])C(=O)[O-],True,1,"[""conf 1/1""]",[-203152.78324950172],[-13184.092191728101],[-35.85212629112115],[46.90603600463241],[-203141.7293397882],-35.852126291121152,-203152.78324950172,-13184.092191728101,46.906036004632412,-203141.7293397882,0,0.99998235963668736,conformer_refined,false,0,water
