unique_ID,SMILES,original_IUPAC_names,seed_formal_charge,pka_type,required_charge,found,protomer_count,reason,expansion_stage
perrin1035,CCc1cnccc1N,"pyridine, 4-amino-3-ethyl-",0,pKaH1,1,True,4,,0
perrin1036,CC(C)c1cnccc1N,"pyridine, 4-amino-3-isopropyl-",0,pKaH1,1,True,4,,0
perrin1037,NCc1ccccn1,"pyridine, 2-aminomethyl-",0,pKaH1,1,True,2,,0
perrin1037,NCc1ccccn1,"pyridine, 2-aminomethyl-",0,pKb1,1,True,2,,0
perrin1037,NCc1ccccn1,"pyridine, 2-aminomethyl-",0,pKaH2,2,True,1,,0
perrin1038,Cc1cccnc1N,"pyridine, 2-amino-3-methyl-",0,pKaH1,1,True,4,,0
perrin1039,Cc1ccnc(N)c1,"pyridine, 2-amino-4-methyl-",0,pKaH1,1,True,4,,0
perrin104,NCCN,"ethane, 1,2-diamino-",0,pKaH1,1,True,1,,0
perrin104,NCCN,"ethane, 1,2-diamino-",0,pKaH2,2,True,1,,0
perrin1040,Cc1ccc(N)nc1,"pyridine, 2-amino-5-methyl-",0,pKaH1,1,True,4,,0
perrin1041,Cc1cccc(N)n1,"pyridine, 2-amino-6-methyl-",0,pKaH1,1,True,12,,0
perrin1042,NCc1cccnc1,"pyridine, 3-aminomethyl-",0,pKb1,1,True,2,,0
perrin1043,Cc1cnccc1N,"pyridine, 4-amino-3-methyl-",0,pKaH1,1,True,4,,0
perrin1044,Cc1ccc(CN)cn1,"pyridine, 3-aminomethyl-6-methyl-",0,pKaH1,1,True,4,,0
perrin1044,Cc1ccc(CN)cn1,"pyridine, 3-aminomethyl-6-methyl-",0,pKaH2,2,True,2,,0
perrin1045,Nc1ccc(-c2ccccn2)cc1,"pyridine, 2-p-aminophenyl-",0,pKaH1,1,True,6,,0
perrin1045,Nc1ccc(-c2ccccn2)cc1,"pyridine, 2-p-aminophenyl-",0,pKaH2,2,True,3,,0
perrin1046,Nc1ccc(-c2ccncc2)cc1,"pyridine, 4-p-aminophenyl-",0,pKaH1,1,True,6,,0
perrin1046,Nc1ccc(-c2ccncc2)cc1,"pyridine, 4-p-aminophenyl-",0,pKaH2,2,True,3,,0
perrin1047,Nc1ccc(S(=O)(=O)Nc2ccc(N)nc2)cc1,"pyridine, 2-amino-5-sulphanilamido-",0,pKa1,-1,True,8,,0
perrin1047,Nc1ccc(S(=O)(=O)Nc2ccc(N)nc2)cc1,"pyridine, 2-amino-5-sulphanilamido-",0,pKb1,1,True,9,,0
perrin1047,Nc1ccc(S(=O)(=O)Nc2ccc(N)nc2)cc1,"pyridine, 2-amino-5-sulphanilamido-",0,pKb2,2,True,15,,0
perrin1048,Nc1ccc(S(=O)(=O)Nc2ccc(N)cn2)cc1,"pyridine, 5-amino-2-sulphanilamido-",0,pKa1,-1,True,6,,0
perrin1048,Nc1ccc(S(=O)(=O)Nc2ccc(N)cn2)cc1,"pyridine, 5-amino-2-sulphanilamido-",0,pKb1,1,True,8,,0
perrin1048,Nc1ccc(S(=O)(=O)Nc2ccc(N)cn2)cc1,"pyridine, 5-amino-2-sulphanilamido-",0,pKb2,2,True,12,,0
perrin1049,Cc1nc(C)c(C)c(N)c1C,"pyridine, 4-amino-2,3,5,6-tetramethyl-",0,pKaH1,1,True,16,,0
perrin105,NC(=NO)C(N)=NO,"ethane, 1,2-diamino-1,2-bishydroxyimino-",0,pKa1,-1,True,31,,0
perrin105,NC(=NO)C(N)=NO,"ethane, 1,2-diamino-1,2-bishydroxyimino-",0,pKaH1,1,True,31,,0
perrin1050,O=C(Nc1ccccn1)c1ccccc1,"pyridine, 2-benzamido-",0,pKaH1,1,True,6,,0
perrin1051,O=C(Nc1cccnc1)c1ccccc1,"pyridine, 3-benzamido-",0,pKaH1,1,True,4,,0
perrin1052,O=C(Nc1ccncc1)c1ccccc1,"pyridine, 4-benzamido-",0,pKaH1,1,True,6,,0
perrin1053,Cn1ccc(=NC(=O)c2ccccc2)cc1,"pyridine, 4-benzoylimino-1,4-dihydro-1-methyl-",0,pKaH1,1,True,2,,0
perrin1054,c1ccc(Cc2ccccn2)cc1,"pyridine, 2-benzyl-",0,pKaH1,1,True,2,,0
perrin1055,CN(C)CCN(Cc1ccccc1)c1ccccn1,"pyridine, 2-[benzyl(2-dimethylaminoethyl)amino]-",0,pKaH1,1,True,3,,0
perrin1055,CN(C)CCN(Cc1ccccc1)c1ccccn1,"pyridine, 2-[benzyl(2-dimethylaminoethyl)amino]-",0,pKaH2,2,True,3,,0
perrin1056,O=c1ccccn1OCc1ccccc1,"pyridine, 1-benzyloxy-1,2-dihydro-2-oxo-",0,pKaH1,1,True,1,,0
perrin1057,O=c1ccn(OCc2ccccc2)cc1,"pyridine, 1-benzyloxy-1,4-dihydro-4-oxo-",0,pKaH1,1,True,1,,0
perrin1058,Cc1ncc(CO)c(C)c1OCc1ccccc1,"pyridine, 3-benzyloxy-5-hydroxymethyl-2,4-dimethyl-",0,pKaH1,1,True,2,,0
perrin1059,c1ccc(CSc2ccccn2)cc1,"pyridine, 2-benzylthio-",0,pKaH1,1,True,1,,0
perrin106,CCN(CC)CC,"ethane, diethylamino-",0,pKaH1,1,True,1,,0
perrin1060,c1ccc(CSc2ccncc2)cc1,"pyridine, 4-benzylthio-",0,pKaH1,1,True,1,,0
perrin1061,Brc1ccccn1,"pyridine, 2-bromo-",0,pKaH1,1,True,1,,0
perrin1062,Brc1cccnc1,"pyridine, 3-bromo-",0,pKaH1,1,True,1,,0
perrin1063,Brc1ccncc1,"pyridine, 4-bromo-",0,pKaH1,1,True,1,,0
perrin1064,CN(C)c1ccncc1Br,"pyridine, 3-bromo-4-dimethylamino-",0,pKaH1,1,True,2,,0
perrin1065,CNc1ccncc1Br,"pyridine, 3-bromo-4-methylamino-",0,pKaH1,1,True,4,,0
perrin1066,Nc1ccc(S(=O)(=O)Nc2ccc(Br)nc2)cc1,"pyridine, 2-bromo-5-sulphanilamido-",0,pKa1,-1,True,2,,0
perrin1066,Nc1ccc(S(=O)(=O)Nc2ccc(Br)nc2)cc1,"pyridine, 2-bromo-5-sulphanilamido-",0,pKb1,1,True,3,,0
perrin1067,Nc1ccc(S(=O)(=O)Nc2ccc(Br)cn2)cc1,"pyridine, 5-bromo-2-sulphanilamido-",0,pKa1,-1,True,4,,0
perrin1067,Nc1ccc(S(=O)(=O)Nc2ccc(Br)cn2)cc1,"pyridine, 5-bromo-2-sulphanilamido-",0,pKb1,1,True,6,,0
perrin1068,CN(C)CCN(c1ccccn1)c1ccc(Br)s1,"pyridine, 2-[(5-bromo-2-thienyl)(2-dimethylaminoethyl)amino]-",0,pKaH1,1,True,3,,0
perrin1069,CC(C)(C)c1ccccn1,"pyridine, 2-t-butyl-",0,pKaH1,1,True,1,,0
perrin107,CCOC(CN(CC)CC)N(CC)CC,"ethane, 1-diethylamino-2-diethylaminoethoxy-",0,pKaH1,1,True,2,,0
perrin107,CCOC(CN(CC)CC)N(CC)CC,"ethane, 1-diethylamino-2-diethylaminoethoxy-",0,pKaH2,2,True,1,,0
perrin1070,CC(C)(C)c1cccnc1,"pyridine, 3-t-butyl-",0,pKaH1,1,True,1,,0
perrin1071,CC(C)(C)c1ccncc1,"pyridine, 4-t-butyl-",0,pKaH1,1,True,1,,0
perrin1072,NC(=O)c1ccccn1,"pyridine, 2-carbamoyl-",0,pKaH1,1,True,4,,0
perrin1072,NC(=O)c1ccccn1,"pyridine, 2-carbamoyl-",0,pKaH2,2,True,2,,0
perrin1073,NC(=O)c1cccnc1,"pyridine, 3-carbamoyl-",0,pKaH1,1,True,4,,0
perrin1073,NC(=O)c1cccnc1,"pyridine, 3-carbamoyl-",0,pKaH2,2,True,2,,0
perrin1074,NC(=O)c1ccncc1,"pyridine, 4-carbamoyl-",0,pKaH1,1,True,4,,0
perrin1074,NC(=O)c1ccncc1,"pyridine, 4-carbamoyl-",0,pKaH2,2,True,2,,0
perrin1075,O=C(O)c1ccccn1,"pyridine, 2-carboxy-",0,pKa1,-1,True,1,,0
perrin1075,O=C(O)c1ccccn1,"pyridine, 2-carboxy-",0,pKaH1,1,True,1,,0
perrin1076,O=C(O)c1cccnc1,"pyridine, 3-carboxy-",0,pKa1,-1,True,1,,0
