species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,formal_charge,solvent
OUYCCCASQSFEME-QMMMGPOBSA-N,0,0,N[C@@H](Cc1ccc(O)cc1)C(=O)O,False,7,"[""conf 1/10"", ""conf 6/10"", ""conf 3/10"", ""conf 7/10"", ""conf 4/10"", ""conf 5/10"", ""conf 10/10""]","[-395373.66240156826, -395372.79237404675, -395372.02807206055, -395371.8349835325, -395371.2190780439, -395371.008270527, -395370.19245794404]","[-25098.931329355186, -25098.2644011146, -25097.75355619079, -25097.42823502029, -25096.406953626112, -25097.139808154483, -25096.69260565192]","[-14.747100149956914, -14.445268092932562, -15.266050485007096, -14.909625103739256, -14.302195932846175, -14.215599625425469, -14.342984048660277]","[93.81780388599651, 93.44082708940836, 94.12785978474845, 94.16080867947193, 93.75919479353843, 93.5272611109564, 93.6631490581464]","[-395294.5916978322, -395293.79681505024, -395293.1662627608, -395292.5837999568, -395291.7620791832, -395291.6966090415, -395290.87229293457]",-15.874311848028547,-395373.8488430148,-25099.2193968994,92.58004365296074,-395294.79241155513,7.417260063404683,3.6568659772639116e-06,conformer_refined,false,0,water
OUYCCCASQSFEME-QMMMGPOBSA-N,0,1,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-],True,2,"[""conf 2/2"", ""conf 1/2""]","[-395356.8259347898, -395359.02666362585]","[-25079.185502459728, -25080.698022994708]","[-38.977123471955395, -36.96721062653128]","[93.88241476897392, 94.34814008866168]","[-395301.9206434928, -395301.6457341637]",-38.996720882250266,-395359.04092932254,-25080.742446125638,93.659969234322389,-395302.20967161853,0,0.99999631443991821,conformer_refined,false,0,water
OUYCCCASQSFEME-QMMMGPOBSA-N,0,2,[NH3+][C@@H](Cc1ccc([O-])cc1)C(=O)O,True,3,"[""conf 2/4"", ""conf 3/4"", ""conf 4/4""]","[-395319.31030611123, -395323.99228148465, -395322.4306900514]","[-25037.662991691308, -25042.362410149468, -25040.51317660688]","[-65.22333473411862, -57.205646184014384, -58.89113663134788]","[92.62004454422153, 92.20961406609118, 92.66462045656831]","[-395291.9135963011, -395288.9883136026, -395288.6572062262]",-65.223349045601736,-395324.03349742584,-25042.388186454551,91.809646208064308,-395291.92023999157,10.289431626966689,2.8694104663124292e-08,conformer_refined,false,0,water
