species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,screening_skipped_postopt,solvent,degeneracy,alternate_tautomer_ids,resonance_charge_forms,formal_charge
MPHPHYZQRGLTBO-UHFFFAOYSA-N,0,0,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,False,5,"[""conf 1/5"", ""conf 4/5"", ""conf 2/5"", ""conf 3/5"", ""conf 5/5""]","[-622001.4807433054, -622000.4569105211, -622000.7362770167, -622000.4784695322, -622000.7837927632]","[-40377.46812287834, -40377.05832943904, -40377.311981576546, -40377.03085904527, -40376.75870033372]","[-11.640928253344569, -11.75701750604624, -11.490953489043486, -11.610180289115478, -11.612062817537666]","[183.13705103523816, 182.26681538456424, 182.3423615808442, 182.25983235748032, 183.31569987821453]","[-621829.9846205235, -621829.9471126426, -621829.884868925, -621829.8288174638, -621829.0801557025]",-12.581884146386399,-622001.87791111099,-40378.128657856956,181.56075968321815,-621830.77085390093,7.0047015714226291,7.3366917965466317e-06,conformer_refined,false,,,,,,,,,water,,,,0
MPHPHYZQRGLTBO-UHFFFAOYSA-N,1,0,CCCc1c(O)n2c(N(C)C)nc3ccc(C)cc3n2c1=O,False,5,"[""conf 2/5"", ""conf 4/5"", ""conf 3/5"", ""conf 5/5"", ""conf 1/5""]","[-621996.3454264315, -621993.6643707259, -621993.2415087008, -621993.4302189077, -621995.5007412523]","[-40371.08903317128, -40370.16954247154, -40369.74641136041, -40369.81195476451, -40369.920355104725]","[-16.295166022470582, -18.336454341597847, -18.598753301756222, -18.234797806799623, -15.836456596930454]","[181.3301727318003, 181.2098488945654, 181.41988066040992, 181.65808486444354, 182.00152628905116]","[-621831.3104197222, -621830.7909761729, -621830.4203813422, -621830.00693185, -621829.3356715603]",-19.069460579685703,-621996.48413405276,-40371.356483268981,180.51153694703595,-621831.65380532993,6.1217501424252987,3.2561781979673243e-05,conformer_refined,false,,,,,,,,,water,,,,0
MPHPHYZQRGLTBO-UHFFFAOYSA-N,1,1,CCCC1=C([O-])[NH+]2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,True,1,,[-621900.688744404],[-40269.066861571264],[-19.713210127692285],[180.85525866914702],[-621739.5466958625],-19.713210127692285,,-40269.066861571264,180.85525866914702,-621796.08275565761,41.692799814743921,2.7475639966141547e-31,post_xtb_screened_out,,-621739.54669586255,-19.713210127692285,-621900.688744404,-40269.066861571264,180.85525866914702,41.692799814743921,-621796.08275565761,true,water,2,2,"{""CCCC1=C([O-])N2c3cc(C)ccc3N=C(N(C)C)[NH+]2C1=O"": ""tautomer_2_id_1""}",0
MPHPHYZQRGLTBO-UHFFFAOYSA-N,1,2,CCCc1c([O-])n2c([NH+](C)C)nc3ccc(C)cc3n2c1=O,True,3,"[""conf 1/3"", ""conf 2/3"", ""conf 3/3""]","[-621984.0822031761, -621984.0680016596, -621982.0180559218]","[-40352.064341608566, -40351.84394889449, -40350.94568781353]","[-27.540763307155395, -26.945256816269513, -26.626482003445457]","[182.65805937209674, 182.82001593721012, 182.52641303503606]","[-621828.9649071111, -621828.1932425386, -621826.1181248903]",-27.811675356796719,-621984.49495360011,-40352.425853970133,182.00524762397328,-621829.11119720258,8.6643582697724923,4.4561876780013646e-07,conformer_refined,false,,,,,,,,,water,,2,"{""CCCc1c([O-])n2c3cc(C)ccc3nc([NH+](C)C)n2c1=O"": ""tautomer_2_id_1""}",0
MPHPHYZQRGLTBO-UHFFFAOYSA-N,1,3,CCCc1c([O-])n2c(N(C)C)[nH+]c3ccc(C)cc3n2c1=O,True,5,"[""conf 4/5"", ""conf 1/5"", ""conf 3/5"", ""conf 2/5"", ""conf 5/5""]","[-621990.6554675172, -621990.5316108117, -621990.5728773709, -621990.7568280703, -621990.1919785829]","[-40362.98704621517, -40362.74036016575, -40362.698386619275, -40362.891291444, -40361.872557194234]","[-26.96972968575798, -27.144177319547516, -26.958434515224837, -26.981652365765175, -26.65283740135611]","[180.57929597821777, 180.7051028357322, 180.6362987305085, 180.99404468601173, 180.8513571867229]","[-621837.0459012248, -621836.9706852955, -621836.8950131555, -621836.7444357501, -621835.9934587976]",-27.914891764886917,-621991.52313506894,-40363.690280978866,179.78130049248267,-621837.77555547236,0,0.9999589174486514,conformer_refined,false,,,,,,,,,water,,2,"{""CCCc1c([O-])n2c3cc(C)ccc3[nH+]c(N(C)C)n2c1=O"": ""tautomer_2_id_1""}",0
MPHPHYZQRGLTBO-UHFFFAOYSA-N,1,4,CCCC1=C([O-])N2C(N(C)C)=Nc3ccc(C)cc3[NH+]2C1=O,True,1,,[-621897.6616388184],[-40266.707145301436],[-21.21358528017716],[180.28252531722976],[-621738.5926987814],-21.21358528017716,,-40266.707145301436,180.28252531722976,-621795.12875857647,42.646796895889565,5.4911474253644891e-32,post_xtb_screened_out,,-621738.5926987814,-21.21358528017716,-621897.66163881845,-40266.707145301436,180.28252531722976,42.646796895889565,-621795.12875857647,true,water,2,2,"{""CCCC1=C([O-])[NH+]2c3cc(C)ccc3N=C(N(C)C)N2C1=O"": ""tautomer_2_id_1""}",0
MPHPHYZQRGLTBO-UHFFFAOYSA-N,2,0,CCCc1c(O)n2c3cc(C)ccc3nc(N(C)C)n2c1=O,False,5,"[""conf 5/5"", ""conf 4/5"", ""conf 2/5"", ""conf 3/5"", ""conf 1/5""]","[-621994.2622888742, -621993.817102972, -621992.003065059, -621991.9366901716, -621991.7980607321]","[-40371.26477670375, -40370.83608071812, -40367.941534826634, -40367.761166201075, -40367.68997545895]","[-15.754880365302252, -15.933720565410237, -16.01153174019406, -16.00337411703124, -16.022199401253133]","[180.89865827858912, 180.98682697163954, 180.96078962125824, 180.91326041024539, 180.8383930951301]","[-621829.118510961, -621828.7639965657, -621827.0538071779, -621827.0268038785, -621826.9818670382]",-16.906594378729842,-621994.51392449194,-40371.502550343313,179.96376033519974,-621829.41046224651,8.3650932258460671,7.3845880450192172e-07,conformer_refined,false,,,,,,,,,water,,,,0
