species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,formal_charge,solvent
CKLJMWTZIZZHCS-REOHCLBHSA-N,0,0,N[C@@H](CC(=O)O)C(=O)O,False,7,"[""conf 4/7"", ""conf 1/7"", ""conf 2/7"", ""conf 6/7"", ""conf 7/7"", ""conf 3/7"", ""conf 5/7""]","[-321530.3201284393, -321529.47742130165, -321529.674400883, -321527.5252825884, -321528.2855782616, -321527.9210460886, -321527.4387557475]","[-19659.847461754995, -19659.278038792283, -19659.654469549583, -19658.32620680081, -19658.406757725257, -19658.46077995125, -19657.45010313397]","[-16.05608491285254, -16.6553564605828, -15.880382260114871, -17.21948747776553, -16.223002432953326, -17.05570750503506, -15.77872572531665]","[52.23134446103352, 52.666790363383754, 52.13603767264051, 52.039310699158214, 52.0390746978651, 52.57464417141155, 52.06179849137122]","[-321494.1448688911, -321493.4659873989, -321493.4187454705, -321492.705459367, -321492.4695059967, -321492.40210942226, -321491.1556829814]",-17.799798246781513,-321530.61459167866,-19660.361918404804,51.052606449663053,-321494.49902638036,7.3498294353485107,3.113958514464508e-06,conformer_refined,false,0,water
CKLJMWTZIZZHCS-REOHCLBHSA-N,0,1,[NH3+][C@@H](CC(=O)[O-])C(=O)O,True,3,"[""conf 2/3"", ""conf 1/3"", ""conf 3/3""]","[-321507.22369142895, -321510.5457120446, -321512.19599973003]","[-19635.616632750993, -19638.178764864177, -19640.154368115804]","[-46.960299000986154, -43.33329424090144, -38.8359338402912]","[53.224421535777594, 53.45020771574788, 52.873542003547826]","[-321500.9595688941, -321500.4287985697, -321498.1583915668]",-46.96159859384872,-321512.2316026889,-19640.175383540802,52.483684679040245,-321501.16612116201,0.68273465370293707,0.24006409529200995,conformer_refined,false,0,water
CKLJMWTZIZZHCS-REOHCLBHSA-N,0,2,[NH3+][C@@H](CC(=O)O)C(=O)[O-],True,6,"[""conf 2/6"", ""conf 1/6"", ""conf 6/6"", ""conf 3/6"", ""conf 5/6"", ""conf 4/6""]","[-321511.27736019675, -321516.536510958, -321513.1489695926, -321509.6810669882, -321508.3934600505, -321516.615256576]","[-19639.320350441994, -19644.56347668903, -19640.047680228243, -19637.966694751154, -19637.64558070851, -19643.409454566205]","[-43.02204954176614, -37.779835395443, -39.80229843034837, -43.65332407267362, -44.571370433227926, -35.060209334853525]","[52.76042866432614, 53.240322832300976, 52.66838152660694, 53.490717165899724, 53.412551615808084, 52.54599884522033]","[-321501.5389810742, -321501.07602352113, -321500.28288649634, -321499.84367389494, -321499.5522788679, -321499.12946706556]",-44.720336895782609,-321516.98882045638,-19644.64279487454,51.846907193419128,-321501.84885581571,0,0.75993279074947562,conformer_refined,false,0,water
