reaction_index,reaction_smiles,tabulated_constant,temperature_celsius,solvent,temperature,solvent_part,reactant_smiles,product_smiles,n_reactants,n_products
197,[C:1](=[CH:2]\[c:6]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)(\[NH:3][c:5]1[cH:7][cH:8][c:9]([O:12][CH3:18])[cH:10][cH:11]1)[CH3:4]>>[C:1](\[CH2:2][c:6]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([O:12][CH3:18])[cH:10][cH:11]1)[CH3:4],1.0,55,pyridine,328,1.0,[C:1](=[CH:2]\[c:6]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)(\[NH:3][c:5]1[cH:7][cH:8][c:9]([O:12][CH3:18])[cH:10][cH:11]1)[CH3:4],[C:1](\[CH2:2][c:6]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([O:12][CH3:18])[cH:10][cH:11]1)[CH3:4],1,1
198,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:4]1[cH:17][cH:18][cH:19][cH:20][cH:21]1>>[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:4]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,0.04,55,pyridine,328,1.0,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:4]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:4]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,1,1
199,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][c:9]([Cl:22])[cH:10][cH:11]1)[c:4]1[cH:17][cH:18][cH:19][cH:20][cH:21]1>>[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([Cl:22])[cH:10][cH:11]1)[c:4]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,-0.11,55,pyridine,328,1.0,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][c:9]([Cl:22])[cH:10][cH:11]1)[c:4]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([Cl:22])[cH:10][cH:11]1)[c:4]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,1,1
200,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][c:9]([O:22][CH3:23])[cH:10][cH:11]1)[c:4]1[cH:17][cH:18][cH:19][cH:20][cH:21]1>>[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([O:22][CH3:23])[cH:10][cH:11]1)[c:4]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,0.46,55,pyridine,328,1.0,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][c:9]([O:22][CH3:23])[cH:10][cH:11]1)[c:4]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([O:22][CH3:23])[cH:10][cH:11]1)[c:4]1[cH:17][cH:18][cH:19][cH:20][cH:21]1,1,1
201,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]\[c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,1.1,55,pyridine,328,1.0,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]\[c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,1,1
202,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][c:9]([Cl:23])[cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]\[c:5]1[cH:7][cH:8][c:9]([Cl:23])[cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,0.97,55,pyridine,328,1.0,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][c:9]([Cl:23])[cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]\[c:5]1[cH:7][cH:8][c:9]([Cl:23])[cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,1,1
203,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][c:9]([O:23][CH3:24])[cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]\[c:5]1[cH:7][cH:8][c:9]([O:23][CH3:24])[cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,1.38,55,pyridine,328,1.0,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][c:9]([O:23][CH3:24])[cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]\[c:5]1[cH:7][cH:8][c:9]([O:23][CH3:24])[cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,1,1
204,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1.4,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
205,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([CH3:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([CH3:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1.51,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([CH3:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([CH3:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
206,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][cH:9][c:10]([F:17])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][c:10]([F:17])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1.09,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][cH:9][c:10]([F:17])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][c:10]([F:17])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
207,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([F:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([F:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1.61,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([F:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([F:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
208,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([Cl:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([Cl:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1.22,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([Cl:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([Cl:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
209,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][cH:9][c:10]([Br:17])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][c:10]([Br:17])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1.12,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][cH:9][c:10]([Br:17])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][c:10]([Br:17])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
210,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([Br:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([Br:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1.35,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([Br:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([Br:17])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
211,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][cH:9][c:10]([O:17][CH3:18])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][c:10]([O:17][CH3:18])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1.36,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][cH:9][c:10]([O:17][CH3:18])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][c:10]([O:17][CH3:18])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
212,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([O:17][CH3:18])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([O:17][CH3:18])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1.79,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([O:17][CH3:18])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([O:17][CH3:18])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
213,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1.65,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
214,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([C:17]#[N:18])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([C:17]#[N:18])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,0.42,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([C:17]#[N:18])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([C:17]#[N:18])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
215,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][cH:9][c:10]([N+:17](=[O:18])[O-:19])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][c:10]([N+:17](=[O:18])[O-:19])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,0.92,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][cH:9][c:10]([N+:17](=[O:18])[O-:19])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][c:10]([N+:17](=[O:18])[O-:19])[cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
216,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([N+:17](=[O:18])[O-:19])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([N+:17](=[O:18])[O-:19])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,0.2,60,nitrobenzene,333,1.0,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([N+:17](=[O:18])[O-:19])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([N+:17](=[O:18])[O-:19])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,1
217,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,0.36,60,nitrobenzene,333,1.0,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,1,1
218,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][cH:10][c:11]([CH3:18])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][cH:10][c:11]([CH3:18])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,0.39,60,nitrobenzene,333,1.0,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][cH:10][c:11]([CH3:18])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][cH:10][c:11]([CH3:18])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,1,1
219,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][c:10]([CH3:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][c:10]([CH3:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,0.56,60,nitrobenzene,333,1.0,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][c:10]([CH3:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][c:10]([CH3:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,1,1
220,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][cH:10][c:11]([F:18])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][cH:10][c:11]([F:18])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,0.18,60,nitrobenzene,333,1.0,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][cH:10][c:11]([F:18])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][cH:10][c:11]([F:18])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,1,1
221,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][c:10]([F:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][c:10]([F:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,0.58,60,nitrobenzene,333,1.0,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][c:10]([F:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][c:10]([F:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,1,1
222,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][c:10]([Cl:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][c:10]([Cl:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,0.23,60,nitrobenzene,333,1.0,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][c:10]([Cl:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][c:10]([Cl:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,1,1
223,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][cH:10][c:11]([Br:18])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][cH:10][c:11]([Br:18])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,0.12,60,nitrobenzene,333,1.0,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][cH:10][c:11]([Br:18])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][cH:10][c:11]([Br:18])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,1,1
224,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][c:10]([Br:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][c:10]([Br:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,0.25,60,nitrobenzene,333,1.0,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][c:10]([Br:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][c:10]([Br:18])[cH:11][cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,1,1
225,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][cH:10][c:11]([O:18][CH3:19])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][cH:10][c:11]([O:18][CH3:19])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,0.26,60,nitrobenzene,333,1.0,[C:1](=[C:2](/[CH3:3])[CH3:7])(\[NH:4][c:6]1[cH:8][cH:9][cH:10][c:11]([O:18][CH3:19])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[C:1](\[CH:2]([CH3:3])[CH3:7])(=[N:4]/[c:6]1[cH:8][cH:9][cH:10][c:11]([O:18][CH3:19])[cH:12]1)[c:5]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,1,1
