species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,screening_skipped_postopt,solvent,degeneracy,formal_charge
QIVBCDIJIAJPQS-VIFPVBQESA-N,0,0,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,False,10,"[""conf 7/10"", ""conf 2/10"", ""conf 1/10"", ""conf 9/10"", ""conf 8/10"", ""conf 5/10"", ""conf 10/10"", ""conf 4/10"", ""conf 6/10"", ""conf 3/10""]","[-430726.74431354494, -430727.6621396779, -430728.733215854, -430727.07586560404, -430726.7979283655, -430726.1155393293, -430725.9089689434, -430725.87748106016, -430724.9068792738, -430725.31967122015]","[-27397.389223210488, -27397.852948338706, -27398.173146270852, -27397.241657349008, -27397.148903501333, -27396.945431141594, -27395.181056409252, -27396.683303836653, -27394.320532009227, -27394.88171759797]","[-16.25814296350086, -15.457440874596342, -14.389419749740947, -15.476266158818236, -15.352019282953743, -15.936230603306488, -15.156863836520117, -15.53587955885423, -15.22651738814112, -14.856914307917956]","[108.32898186236612, 108.51320368349768, 108.72577192860516, 108.74090870774594, 108.89890191737356, 108.95482920753211, 108.1034789175821, 108.67282698640875, 108.4555024529214, 108.61960032885403]","[-430634.6734746461, -430634.606376869, -430634.3968636751, -430633.8112230551, -430633.251045731, -430633.0969407251, -430632.96235386236, -430632.7405336326, -430631.67789420905, -430631.5569851992]",-16.925973868754593,-430728.90277168917,-27398.704668097078,107.18317974428474,-430635.32818541618,8.1497692057164386,1.0621289733176517e-06,conformer_refined,false,,,,,,,,,water,,0
QIVBCDIJIAJPQS-VIFPVBQESA-N,0,1,[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],True,6,"[""conf 3/6"", ""conf 4/6"", ""conf 5/6"", ""conf 6/6"", ""conf 2/6"", ""conf 1/6""]","[-430711.6368436373, -430711.71604142664, -430715.26766123524, -430712.12963648525, -430712.8846664027, -430712.8195614]","[-27377.972201650933, -27377.924326460692, -27381.02088247052, -27378.534642027073, -27379.49698682595, -27379.387759944693]","[-40.247830156933176, -39.632243362877276, -35.970098072245015, -38.89052716453469, -37.38513193625731, -37.0111362897157]","[108.78441336290153, 108.6315274252729, 109.18260480463337, 109.11404946110798, 109.05850113145092, 108.9821792575324]","[-430643.1002604313, -430642.7167573643, -430642.05515450286, -430641.9061141887, -430641.2112972075, -430640.8485184322]",-40.475259992828171,-430715.29297550122,-27381.111951516315,107.86446578328801,-430643.47795462189,0,0.99999893787067318,conformer_refined,false,,,,,,,,,water,,0
QIVBCDIJIAJPQS-VIFPVBQESA-N,0,2,N[C@@H](CC1=C[NH2+]c2ccccc21)C(=O)[O-],True,3,"[""conf 1/3"", ""conf 2/3"", ""conf 3/3""]","[-430679.9678156721, -430680.3053608752, -430676.8703262356]","[-27342.237074282253, -27342.75304570119, -27342.262085045957]","[-54.19485572745963, -53.133109697344864, -55.62055725253099]","[107.82209507127739, 107.9895627088538, 107.76343557412082]","[-430626.34057632834, -430625.44890786376, -430624.727447914]",-55.679804237931108,-430680.57213446859,-27343.119206939413,107.19994378739804,-430626.4904025725,16.987552049395163,3.5321364852553067e-13,conformer_refined,false,,,,,,,,,water,,0
QIVBCDIJIAJPQS-VIFPVBQESA-N,0,3,[NH-][C@@H](CC1=C[NH2+]c2ccccc21)C(=O)O,True,1,,[-430591.59260964533],[-27268.71667096455],[-39.24318748895815],[104.38371744649764],[-430526.4520796878],-39.243187488958149,,-27268.71667096455,104.38371744649764,-430550.44429594022,93.033658681670204,6.3952053683588033e-69,post_xtb_screened_out,,-430526.45207968779,-39.243187488958149,-430591.59260964533,-27268.71667096455,104.38371744649764,93.033658681670204,-430550.44429594022,true,water,1,0
QIVBCDIJIAJPQS-VIFPVBQESA-N,0,4,[NH3+][C@@H](Cc1c[n-]c2ccccc12)C(=O)O,True,5,"[""conf 2/6"", ""conf 6/6"", ""conf 1/6"", ""conf 5/6"", ""conf 4/6""]","[-430680.937243786, -430683.0708090914, -430680.10765584966, -430682.24412400636, -430684.08413803915]","[-27341.52142379772, -27342.99198035637, -27340.013948777138, -27343.2498735882, -27343.993815112724]","[-47.86893271942952, -44.91148056817013, -47.779198864638495, -44.246948035137315, -41.69925957044112]","[106.68614110986513, 106.94057823537398, 107.36169471352778, 107.71349672923759, 107.85013236086854]","[-430622.12003539555, -430621.0417114242, -430620.5251600008, -430618.77757531224, -430617.9332652487]",-48.239315150112759,-430684.207638569,-27344.2284380284,106.19590436122897,-430622.24469944998,21.233255171915516,2.7284468086701928e-16,conformer_refined,false,,,,,,,,,water,,0
