species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,screening_skipped_postopt,solvent,degeneracy,formal_charge
XUJNEKJLAYXESH-REOHCLBHSA-N,0,0,N[C@@H](CS)C(=O)O,False,10,"[""conf 1/10"", ""conf 3/10"", ""conf 8/10"", ""conf 2/10"", ""conf 5/10"", ""conf 10/10"", ""conf 6/10"", ""conf 4/10"", ""conf 7/10"", ""conf 9/10""]","[-453035.7804480974, -453034.0486489638, -453032.5962444571, -453033.21005899867, -453033.5490533578, -453031.42834097694, -453031.675576035, -453031.4617101235, -453031.3139106409, -453030.9331647224]","[-15239.894025870919, -15237.103823881278, -15236.667809982451, -15236.338715293772, -15238.231231802456, -15236.67102614609, -15235.54197259512, -15235.973449437925, -15234.714256294894, -15236.294462016047]","[-10.620597848517967, -11.438242693222188, -12.19376409999416, -11.26693260680296, -11.030989044555236, -12.530736687566044, -11.361059027912425, -11.233047095203554, -11.172178676219433, -11.303955665772683]","[44.02140272593367, 43.77474693502149, 43.295908987228344, 43.820322752339735, 43.93408349434084, 43.71528387747035, 43.48169852469159, 43.176051378237474, 43.46294464038018, 44.20670125856878]","[-453002.37964321993, -453001.712144722, -453001.49409956986, -453000.65666885313, -453000.645958908, -453000.2437937871, -452999.5549365382, -452999.51870584046, -452999.02314467676, -452998.03041912965]",-13.059257065123017,-453035.83569320448,-15239.942362959049,42.243285380602629,-453002.69558177853,6.9449771816143766,8.1150812953694817e-06,conformer_refined,false,,,,,,,,,water,,0
XUJNEKJLAYXESH-REOHCLBHSA-N,0,1,[NH3+][C@@H](CS)C(=O)[O-],True,2,"[""conf 2/2"", ""conf 1/2""]","[-453019.80882142915, -453017.1467402476]","[-15221.365915715147, -15220.398713153956]","[-34.09572727321854, -33.27431737166994]","[44.26641215537927, 44.04011673515554]","[-453009.638136547, -453006.3809408841]",-34.227926198011616,-453019.81541226472,-15221.471687702278,43.731846220451608,-453009.64055896015,0,0.99999188491870461,conformer_refined,false,,,,,,,,,water,,0
XUJNEKJLAYXESH-REOHCLBHSA-N,0,2,[NH3+][C@@H](C[S-])C(=O)O,True,1,,[-452940.94376936747],[-15155.92179830056],[-47.96054910264273],[45.10179923119108],[-452943.8025192389],-47.96054910264273,,-15155.92179830056,45.10179923119108,-452968.87730130064,40.763257659506053,1.3192322600178825e-30,post_xtb_screened_out,,-452943.8025192389,-47.96054910264273,-452940.94376936747,-15155.92179830056,45.10179923119108,40.763257659506053,-452968.87730130064,true,water,1,0
