species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,screening_solution_phase_free_energy_kcal_mol,screening_solvation_free_energy_kcal_mol,screening_gas_sp_energy_kcal_mol,screening_gas_sp_energy_xtb_kcal_mol,screening_rrho_contribution_kcal_mol,screening_delta_kcal_mol,screening_placeholder_solution_phase_free_energy_kcal_mol,screening_skipped_postopt,solvent,degeneracy,formal_charge
KDXKERNSBIXSRK-YFKPBYRVSA-N,0,0,NCCCC[C@H](N)C(=O)O,False,10,"[""conf 1/10"", ""conf 5/10"", ""conf 7/10"", ""conf 8/10"", ""conf 3/10"", ""conf 6/10"", ""conf 2/10"", ""conf 4/10"", ""conf 10/10"", ""conf 9/10""]","[-311902.4973768385, -311902.07167701924, -311901.56044840603, -311901.1494549703, -311900.85362428526, -311901.26319695543, -311901.3557030944, -311900.7973716741, -311900.805541385, -311900.2029979332]","[-21306.37700652998, -21306.049957193994, -21306.29359618668, -21304.77205204789, -21304.466612830467, -21304.774639108182, -21304.79462101285, -21304.796338454824, -21303.890796457363, -21303.953580507772]","[-14.11268807167912, -14.022954216888095, -14.433972922399427, -14.584575196174569, -14.37624205078562, -14.245720080180497, -13.720494650389682, -13.822778694661967, -14.049937124272809, -14.15096614959697]","[105.50476795498933, 105.72658925462582, 105.65324334376052, 105.88302128594295, 105.8183662143759, 106.19744894279917, 105.99746787446387, 105.87973661772143, 106.62894199354471, 106.3164637093024]","[-311811.1052969552, -311810.3680419815, -311810.34117798466, -311809.85100888053, -311809.41150012164, -311809.3114680928, -311809.07872987026, -311808.74041375105, -311808.22653651575, -311808.0375003735]",-15.570166011137932,-311902.98140676518,-21306.984530816411,104.52067807157306,-311811.47113446944,15.176641356607433,7.5065678875027012e-12,conformer_refined,false,,,,,,,,,water,,0
KDXKERNSBIXSRK-YFKPBYRVSA-N,0,1,N[C@@H](CCCC[NH3+])C(=O)[O-],True,2,"[""conf 1/2"", ""conf 2/2""]","[-311892.4398861822, -311882.87943379104]","[-21292.374141373784, -21283.988437281558]","[-42.68633197314238, -47.48426941182884]","[108.4793268760822, 107.57167234350246]","[-311826.64689127926, -311822.7920308594]",-47.484449588574307,-311892.43988624041,-21292.374141796368,107.45574601039129,-311826.64777582604,0,0.99999246883775705,conformer_refined,false,,,,,,,,,water,,0
KDXKERNSBIXSRK-YFKPBYRVSA-N,0,2,NCCCC[C@H]([NH3+])C(=O)[O-],True,9,"[""conf 1/10"", ""conf 8/10"", ""conf 9/10"", ""conf 6/10"", ""conf 3/10"", ""conf 10/10"", ""conf 2/10"", ""conf 7/10"", ""conf 4/10""]","[-311891.25703786546, -311885.9770673884, -311885.2377325019, -311887.02027850045, -311888.1494960881, -311884.67238762917, -311889.6418431504, -311886.66014008666, -311889.4000614013]","[-21293.0728656763, -21286.336813397822, -21285.298899956022, -21286.259102332133, -21291.379358172944, -21285.31518637268, -21293.433008663396, -21286.869171382677, -21294.10138037595]","[-35.45114773719483, -39.01351902145105, -39.65420619446948, -37.3989371446867, -36.265655034528734, -38.81020595185461, -34.72825682307415, -36.655338417921925, -34.34422102494753]","[107.44048329330333, 106.06775228018444, 106.47621691043965, 106.96078905549453, 107.0435522997316, 106.15383347386303, 108.07781107427206, 107.23707131942867, 108.56997468336196]","[-311819.26770230936, -311818.9228341297, -311818.41572178586, -311817.4584265896, -311817.3715988229, -311817.32876010716, -311816.29228889925, -311816.07840718515, -311815.1743077429]",-39.937401051210301,-311891.32189339888,-21294.345552388411,105.40383153831273,-311819.65855398873,6.9892218373133801,7.5311547362852258e-06,conformer_refined,false,,,,,,,,,water,,0
KDXKERNSBIXSRK-YFKPBYRVSA-N,0,3,[NH-]CCCC[C@H]([NH3+])C(=O)O,True,1,,[-311744.62037906516],[-21172.269250714682],[-54.32475018859069],[102.96421903518265],[-311695.98091021855],-54.324750188590691,,-21172.269250714682,102.96421903518265,-311732.94655275234,93.70122307370184,2.0726386427306552e-69,post_xtb_screened_out,,-311695.98091021855,-54.324750188590691,-311744.62037906516,-21172.269250714682,102.96421903518265,93.70122307370184,-311732.94655275234,true,water,1,0
KDXKERNSBIXSRK-YFKPBYRVSA-N,0,4,[NH-][C@@H](CCCC[NH3+])C(=O)O,True,1,,[-311759.01738718216],[-21155.813606071926],[-82.27276714441305],[98.59460657718309],[-311742.6955477494],-82.272767144413052,,-21155.813606071926,98.594606577183086,-311779.66119028319,46.986585542850662,3.619016157435092e-35,post_xtb_screened_out,,-311742.6955477494,-82.272767144413052,-311759.01738718216,-21155.813606071926,98.594606577183086,46.986585542850662,-311779.66119028319,true,water,1,0
