reaction_index,tabulated_constant,temperature,temperature_celsius,solvent,solvent_original,solvent_part,reactant_smiles,product_smiles,reactant_smiles_mapped,product_smiles_mapped,formal_charge,reactant_is_zwitterion,product_is_zwitterion,n_reactants,n_products
46,-0.08,293,20,methanol,methanol,1.0,CC(=O)C(C(C)=O)C(=O)Nc1ccccc1,CC(=O)/C(C(=O)Nc1ccccc1)=C(/C)O,[C:1]([CH:2]([C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[C:6](=[O:15])[CH3:16])(=[O:3])[CH3:14],[C:1](/[C:2]([C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)=[C:6](\[OH:15])[CH3:16])(=[O:3])[CH3:14],0,False,False,1,1
47,0.69,293,20,methanol,methanol,1.0,CC(=O)C(C#N)C(=O)Nc1ccccc1,C/C(O)=C(/C#N)C(=O)Nc1ccccc1,[C:1]([CH:2]([C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[C:6]#[N:15])(=[O:3])[CH3:14],[C:1](=[C:2](/[C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[C:6]#[N:15])(\[OH:3])[CH3:14],0,False,False,1,1
48,-1.12,293,20,methanol,methanol,1.0,CC(=O)C(C(=O)Nc1ccccc1)c1ccccc1,C/C(O)=C(\C(=O)Nc1ccccc1)c1ccccc1,[C:1]([CH:2]([C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[c:6]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)(=[O:3])[CH3:14],[C:1](=[C:2](/[C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[c:6]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)(\[OH:3])[CH3:14],0,False,False,1,1
49,-1.0,293,20,methanol,methanol,1.0,CCOC(=O)C1C(=O)C(C(=O)OCC)C(C)OC1C,CCOC(=O)C1=C(O)C(C(=O)OCC)C(C)OC1C,[O:1]1[CH:2]([CH3:18])[CH:3]([C:9]([O:14][CH2:16][CH3:17])=[O:15])[C:4](=[O:7])[CH:5]([C:8](=[O:10])[O:11][CH2:12][CH3:13])[CH:6]1[CH3:19],[O:1]1[CH:2]([CH3:18])[C:3]([C:9]([O:14][CH2:16][CH3:17])=[O:15])=[C:4]([OH:7])[CH:5]([C:8](=[O:10])[O:11][CH2:12][CH3:13])[CH:6]1[CH3:19],0,False,False,1,1
50,-1.12,293,20,methanol,methanol,1.0,CCOC(=O)C1C(=O)C(C(=O)OCC)C(CC)OC1CC,CCOC(=O)C1=C(O)C(C(=O)OCC)C(CC)OC1CC,[O:1]1[CH:2]([CH2:18][CH3:20])[CH:3]([C:9]([O:14][CH2:16][CH3:17])=[O:15])[C:4](=[O:7])[CH:5]([C:8](=[O:10])[O:11][CH2:12][CH3:13])[CH:6]1[CH2:19][CH3:21],[O:1]1[CH:2]([CH2:18][CH3:20])[C:3]([C:9]([O:14][CH2:16][CH3:17])=[O:15])=[C:4]([OH:7])[CH:5]([C:8](=[O:10])[O:11][CH2:12][CH3:13])[CH:6]1[CH2:19][CH3:21],0,False,False,1,1
51,-1.19,293,20,methanol,methanol,1.0,CCCC1OC(CCC)C(C(=O)OCC)C(=O)C1C(=O)OCC,CCCC1OC(CCC)C(C(=O)OCC)C(O)=C1C(=O)OCC,[O:1]1[CH:2]([CH2:18][CH2:20][CH3:21])[CH:3]([C:9]([O:14][CH2:16][CH3:17])=[O:15])[C:4](=[O:7])[CH:5]([C:8](=[O:10])[O:11][CH2:12][CH3:13])[CH:6]1[CH2:19][CH2:22][CH3:23],[O:1]1[CH:2]([CH2:18][CH2:20][CH3:21])[C:3]([C:9]([O:14][CH2:16][CH3:17])=[O:15])=[C:4]([OH:7])[CH:5]([C:8](=[O:10])[O:11][CH2:12][CH3:13])[CH:6]1[CH2:19][CH2:22][CH3:23],0,False,False,1,1
52,0.52,293,20,methanol,methanol,1.0,COC(=O)C1CN(C)CC(C(=O)OC)C1=O,COC(=O)C1=C(O)C(C(=O)OC)CN(C)C1,[N:1]1([CH3:16])[CH2:2][CH:3]([C:9]([O:13][CH3:15])=[O:14])[C:4](=[O:7])[CH:5]([C:8](=[O:10])[O:11][CH3:12])[CH2:6]1,[N:1]1([CH3:16])[CH2:2][C:3]([C:9]([O:13][CH3:15])=[O:14])=[C:4]([OH:7])[CH:5]([C:8](=[O:10])[O:11][CH3:12])[CH2:6]1,0,False,False,1,1
83,-0.7,293,20,acetonitrile,acetonitrile,1.0,CC(=O)CC(=O)Nc1ccccc1,C/C(O)=C\C(=O)Nc1ccccc1,[C:1]([CH2:2][C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[CH3:6],[C:1](=[CH:2]/[C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[CH3:6],0,False,False,1,1
84,0.26,298,25,acetonitrile,acetonitrile,1.0,CC(C)C(=O)CC(=O)C(C)C,CC(C)C(=O)/C=C(/O)C(C)C,[C:1]([CH2:2][C:4](=[O:5])[CH:7]([CH3:10])[CH3:11])(=[O:3])[CH:6]([CH3:8])[CH3:9],[C:1](/[CH:2]=[C:4](/[OH:5])[CH:7]([CH3:10])[CH3:11])(=[O:3])[CH:6]([CH3:8])[CH3:9],0,False,False,1,1
85,0.79,298,25,acetonitrile,acetonitrile,1.0,CC(C)(C)C(=O)CC(=O)C(C)(C)C,CC(C)(C)C(=O)/C=C(/O)C(C)(C)C,[C:1]([CH2:2][C:4](=[O:5])[C:7]([CH3:11])([CH3:12])[CH3:13])(=[O:3])[C:6]([CH3:8])([CH3:9])[CH3:10],[C:1](/[CH:2]=[C:4](/[OH:5])[C:7]([CH3:11])([CH3:12])[CH3:13])(=[O:3])[C:6]([CH3:8])([CH3:9])[CH3:10],0,False,False,1,1
86,-1.36,293,20,acetonitrile,acetonitrile,1.0,CC(=O)C(C)C(=O)Nc1ccccc1,C/C(O)=C(/C)C(=O)Nc1ccccc1,[C:1]([CH:2]([CH3:4])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(=[O:3])[CH3:7],[C:1](=[C:2](\[CH3:4])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(\[OH:3])[CH3:7],0,False,False,1,1
87,-0.75,293,20,acetonitrile,acetonitrile,1.0,CC(=O)C(Cl)C(=O)Nc1ccccc1,C/C(O)=C(/Cl)C(=O)Nc1ccccc1,[C:1]([CH:2]([Cl:4])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(=[O:3])[CH3:7],[C:1](=[C:2](\[Cl:4])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(\[OH:3])[CH3:7],0,False,False,1,1
88,-0.15,293,20,acetonitrile,acetonitrile,1.0,CC(=O)C(Br)C(=O)Nc1ccccc1,C/C(O)=C(/Br)C(=O)Nc1ccccc1,[C:1]([CH:2]([Br:4])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(=[O:3])[CH3:7],[C:1](=[C:2](\[Br:4])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(\[OH:3])[CH3:7],0,False,False,1,1
89,0.25,293,20,acetonitrile,acetonitrile,1.0,COC(C(C)=O)C(=O)Nc1ccccc1,CO/C(C(=O)Nc1ccccc1)=C(/C)O,[C:1]([CH:2]([O:4][CH3:15])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(=[O:3])[CH3:7],[C:1](=[C:2](\[O:4][CH3:15])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(\[OH:3])[CH3:7],0,False,False,1,1
90,1.48,293,20,acetonitrile,acetonitrile,1.0,CC(=O)C(C#N)C(=O)Nc1ccccc1,C/C(O)=C(/C#N)C(=O)Nc1ccccc1,[C:1]([CH:2]([C:4]#[N:15])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(=[O:3])[CH3:7],[C:1](=[C:2](\[C:4]#[N:15])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(\[OH:3])[CH3:7],0,False,False,1,1
91,-0.68,293,20,acetonitrile,acetonitrile,1.0,CC(=O)C(C(=O)Nc1ccccc1)c1ccccc1,C/C(O)=C(\C(=O)Nc1ccccc1)c1ccccc1,[C:1]([CH:2]([c:4]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(=[O:3])[CH3:7],[C:1](=[C:2](\[c:4]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(\[OH:3])[CH3:7],0,False,False,1,1
92,-0.85,306,33,acetonitrile,acetonitrile,1.0,CCOC(=O)C(C(=O)c1ccccc1)C(=O)c1ccccc1,CCOC(=O)/C(C(=O)c1ccccc1)=C(\O)c1ccccc1,[C:1]([CH:2]([C:4](=[O:19])[O:20][CH2:21][CH3:22])[C:5](=[O:6])[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)(=[O:3])[c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1,[C:1](/[C:2]([C:4](=[O:19])[O:20][CH2:21][CH3:22])=[C:5](/[OH:6])[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)(=[O:3])[c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1,0,False,False,1,1
111,0.18,311,38,dmso,methanesulfinylmethane,1.0,CC(=O)CC(C)=O,CC(=O)/C=C(\C)O,[C:1]([CH2:2][C:4](=[O:5])[CH3:7])(=[O:3])[CH3:6],[C:1](/[CH:2]=[C:4](/[OH:5])[CH3:7])(=[O:3])[CH3:6],0,False,False,1,1
112,-0.77,306,33,dmso,methanesulfinylmethane,1.0,CC(=O)Cc1ccccn1,C/C(O)=C\c1ccccn1,[C:1]([CH2:2][c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(=[O:3])[CH3:5],[C:1](=[CH:2]/[c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(\[OH:3])[CH3:5],0,False,False,1,1
113,-0.88,306,33,dmso,methanesulfinylmethane,1.0,CCC(=O)Cc1ccccn1,CC/C(O)=C\c1ccccn1,[C:1]([CH2:2][c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(=[O:3])[CH2:5][CH3:11],[C:1](=[CH:2]/[c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(\[OH:3])[CH2:5][CH3:11],0,False,False,1,1
114,-0.72,306,33,dmso,methanesulfinylmethane,1.0,CCCC(=O)Cc1ccccn1,CCC/C(O)=C\c1ccccn1,[C:1]([CH2:2][c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(=[O:3])[CH2:5][CH2:11][CH3:12],[C:1](=[CH:2]/[c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(\[OH:3])[CH2:5][CH2:11][CH3:12],0,False,False,1,1
115,-0.79,306,33,dmso,methanesulfinylmethane,1.0,CC(C)C(=O)Cc1ccccn1,CC(C)/C(O)=C\c1ccccn1,[C:1]([CH2:2][c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(=[O:3])[CH:5]([CH3:11])[CH3:12],[C:1](=[CH:2]/[c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(\[OH:3])[CH:5]([CH3:11])[CH3:12],0,False,False,1,1
116,-0.7,306,33,dmso,methanesulfinylmethane,1.0,CCCCC(=O)Cc1ccccn1,CCCC/C(O)=C\c1ccccn1,[C:1]([CH2:2][c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(=[O:3])[CH2:5][CH2:11][CH2:12][CH3:13],[C:1](=[CH:2]/[c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(\[OH:3])[CH2:5][CH2:11][CH2:12][CH3:13],0,False,False,1,1
117,-0.55,306,33,dmso,methanesulfinylmethane,1.0,CC(C)CC(=O)Cc1ccccn1,CC(C)C/C(O)=C\c1ccccn1,[C:1]([CH2:2][c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(=[O:3])[CH2:5][CH:11]([CH3:12])[CH3:13],[C:1](=[CH:2]/[c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(\[OH:3])[CH2:5][CH:11]([CH3:12])[CH3:13],0,False,False,1,1
118,-0.39,306,33,dmso,methanesulfinylmethane,1.0,CCC(C)C(=O)Cc1ccccn1,CCC(C)/C(O)=C\c1ccccn1,[C:1]([CH2:2][c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(=[O:3])[CH:5]([CH2:11][CH3:13])[CH3:12],[C:1](=[CH:2]/[c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(\[OH:3])[CH:5]([CH2:11][CH3:13])[CH3:12],0,False,False,1,1
119,-0.4,306,33,dmso,methanesulfinylmethane,1.0,CC(C)(C)C(=O)Cc1ccccn1,CC(C)(C)/C(O)=C\c1ccccn1,[C:1]([CH2:2][c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(=[O:3])[C:5]([CH3:11])([CH3:12])[CH3:13],[C:1](=[CH:2]/[c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(\[OH:3])[C:5]([CH3:11])([CH3:12])[CH3:13],0,False,False,1,1
120,-0.68,306,33,dmso,methanesulfinylmethane,1.0,CCCCCC(=O)Cc1ccccn1,CCCCC/C(O)=C\c1ccccn1,[C:1]([CH2:2][c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(=[O:3])[CH2:5][CH2:11][CH2:12][CH2:13][CH3:14],[C:1](=[CH:2]/[c:4]1[n:6][cH:7][cH:8][cH:9][cH:10]1)(\[OH:3])[CH2:5][CH2:11][CH2:12][CH2:13][CH3:14],0,False,False,1,1
131,-0.37,300,27,benzene,benzene,1.0,CC(=O)C(C1CCC1=O)C1CCC1=O,C/C(O)=C(/C1CCC1=O)C1CCC1=O,[C:1]([CH:2]([CH:5]1[CH2:6][CH2:8][C:7]1=[O:14])[CH:9]1[CH2:10][CH2:12][C:11]1=[O:13])(=[O:3])[CH3:4],[C:1](=[C:2](\[CH:5]1[CH2:6][CH2:8][C:7]1=[O:14])[CH:9]1[CH2:10][CH2:12][C:11]1=[O:13])(\[OH:3])[CH3:4],0,False,False,1,1
132,-0.59,293,20,benzene,benzene,1.0,CC(=O)CC(=O)Nc1ccccc1,C/C(O)=C\C(=O)Nc1ccccc1,[C:1]([CH2:2][C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(=[O:3])[CH3:6],[C:1](=[CH:2]/[C:4](=[O:5])[NH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)(\[OH:3])[CH3:6],0,False,False,1,1
133,-1.32,293,20,benzene,benzene,1.0,CC(=O)C(C)C(=O)Nc1ccccc1,C/C(O)=C(/C)C(=O)Nc1ccccc1,[C:1]([CH:2]([CH3:4])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(=[O:3])[CH3:7],[C:1](=[C:2](\[CH3:4])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(\[OH:3])[CH3:7],0,False,False,1,1
134,0.55,293,20,benzene,benzene,1.0,CC(=O)C(Cl)C(=O)Nc1ccccc1,C/C(O)=C(/Cl)C(=O)Nc1ccccc1,[C:1]([CH:2]([Cl:4])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(=[O:3])[CH3:7],[C:1](=[C:2](\[Cl:4])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(\[OH:3])[CH3:7],0,False,False,1,1
135,-0.11,293,20,benzene,benzene,1.0,CC(=O)C(Br)C(=O)Nc1ccccc1,C/C(O)=C(/Br)C(=O)Nc1ccccc1,[C:1]([CH:2]([Br:4])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(=[O:3])[CH3:7],[C:1](=[C:2](\[Br:4])[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(\[OH:3])[CH3:7],0,False,False,1,1
136,-0.71,293,20,benzene,benzene,1.0,CC(=O)C(C(=O)Nc1ccccc1)c1ccccc1,C/C(O)=C(\C(=O)Nc1ccccc1)c1ccccc1,[C:1]([CH:2]([c:4]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(=[O:3])[CH3:7],[C:1](=[C:2](\[c:4]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:5](=[O:6])[NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)(\[OH:3])[CH3:7],0,False,False,1,1
171,0.95,299,26,dmf,"n,n-dimethylformamide",1.0,CC(=O)CC=O,C/C(O)=C\C=O,[C:1]([CH2:2][CH:5]=[O:6])(=[O:3])[CH3:4],[C:1](=[CH:2]/[CH:5]=[O:6])(\[OH:3])[CH3:4],0,False,False,1,1
172,0.72,299,26,dmf,"n,n-dimethylformamide",1.0,CC(C)(C)C(=O)CC=O,CC(C)(C)/C(O)=C\C=O,[C:1]([CH2:2][CH:5]=[O:6])(=[O:3])[C:4]([CH3:7])([CH3:8])[CH3:9],[C:1](=[CH:2]/[CH:5]=[O:6])(\[OH:3])[C:4]([CH3:7])([CH3:8])[CH3:9],0,False,False,1,1
173,0.87,299,26,dmf,"n,n-dimethylformamide",1.0,CC(=O)C(C)C=O,C/C(O)=C(/C)C=O,[C:1]([CH:2]([CH:5]=[O:6])[CH3:7])(=[O:3])[CH3:4],[C:1](=[C:2](/[CH:5]=[O:6])[CH3:7])(\[OH:3])[CH3:4],0,False,False,1,1
174,1.2,299,26,thf,oxolane,1.0,CCC(=O)C(C)C=O,CC/C(O)=C(/C)C=O,[C:1]([CH:2]([CH:5]=[O:6])[CH3:7])(=[O:3])[CH2:4][CH3:8],[C:1](=[C:2](/[CH:5]=[O:6])[CH3:7])(\[OH:3])[CH2:4][CH3:8],0,False,False,1,1
175,5.3,294,21,water,water,1.0,Nc1ccccn1,N=c1cccc[nH]1,[cH:1]1[cH:2][cH:3][n:4][c:5]([NH2:7])[cH:6]1,[cH:1]1[cH:2][cH:3][nH:4][c:5](=[NH:7])[cH:6]1,0,False,False,1,1
176,6.16,308,35,water,water,1.0,Nc1ccccn1,N=c1cccc[nH]1,[cH:1]1[cH:2][cH:3][n:4][c:5]([NH2:7])[cH:6]1,[cH:1]1[cH:2][cH:3][nH:4][c:5](=[NH:7])[cH:6]1,0,False,False,1,1
177,3.3,294,21,water,water,1.0,Nc1ccncc1,N=c1cc[nH]cc1,[c:1]1([NH2:7])[cH:2][cH:3][n:4][cH:5][cH:6]1,[c:1]1(=[NH:7])[cH:2][cH:3][nH:4][cH:5][cH:6]1,0,False,False,1,1
178,4.3,294,21,water,water,1.0,Nc1nccs1,N=c1[nH]ccs1,[s:1]1[cH:2][cH:3][n:4][c:5]1[NH2:6],[s:1]1[cH:2][cH:3][nH:4][c:5]1=[NH:6],0,False,False,1,1
179,5.3,294,21,water,water,1.0,Nc1nc(N)nc(N)n1,N=c1nc(N)nc(N)[nH]1,[c:1]1([NH2:7])[n:2][c:3]([NH2:9])[n:4][c:5]([NH2:8])[n:6]1,[c:1]1([NH2:7])[n:2][c:3]([NH2:9])[n:4][c:5](=[NH:8])[nH:6]1,0,False,False,1,1
232,0.1,328,55,dmso,methanesulfinylmethane,1.0,CN/C(=C\c1ccccc1)c1ccccc1,C/N=C(/Cc1ccccc1)c1ccccc1,[C:1](=[CH:2]\[c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)(\[NH:3][CH3:5])[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)(=[N:3]/[CH3:5])[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,0,False,False,1,1
233,-0.16,328,55,dmso,methanesulfinylmethane,1.0,CN/C(=C\c1ccccc1)Cc1ccccc1,C/N=C(\Cc1ccccc1)Cc1ccccc1,[C:1](=[CH:2]\[c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)(\[NH:3][CH3:5])[CH2:4][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[C:1](\[CH2:2][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)(=[N:3]\[CH3:5])[CH2:4][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,0,False,False,1,1
234,-0.66,353,80,dmso,methanesulfinylmethane,1.0,CCOC(=O)/C=C(/C)NN(C)c1ccccc1,CCOC(=O)C/C(C)=N/N(C)c1ccccc1,[C:1](=[CH:2]\[C:6](=[O:14])[O:15][CH2:16][CH3:17])(\[NH:3][N:5]([c:7]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[CH3:8])[CH3:4],[C:1](\[CH2:2][C:6](=[O:14])[O:15][CH2:16][CH3:17])(=[N:3]/[N:5]([c:7]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[CH3:8])[CH3:4],0,False,False,1,1
235,0.82,328,55,dmso,methanesulfinylmethane,1.0,C/C=C(\Nc1ccccc1)c1ccccc1,CC/C(=N/c1ccccc1)c1ccccc1,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)[c:4]1[cH:7][cH:8][cH:9][cH:10][cH:11]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)[c:4]1[cH:7][cH:8][cH:9][cH:10][cH:11]1,0,False,False,1,1
236,0.5,328,55,dmso,methanesulfinylmethane,1.0,C/C=C(\Nc1ccc(Cl)cc1)c1ccccc1,CC/C(=N/c1ccc(Cl)cc1)c1ccccc1,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:12][cH:13][c:14]([Cl:17])[cH:15][cH:16]1)[c:4]1[cH:7][cH:8][cH:9][cH:10][cH:11]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:12][cH:13][c:14]([Cl:17])[cH:15][cH:16]1)[c:4]1[cH:7][cH:8][cH:9][cH:10][cH:11]1,0,False,False,1,1
237,1.2,328,55,dmso,methanesulfinylmethane,1.0,C/C=C(\Nc1ccc(OC)cc1)c1ccccc1,CC/C(=N/c1ccc(OC)cc1)c1ccccc1,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:12][cH:13][c:14]([O:17][CH3:18])[cH:15][cH:16]1)[c:4]1[cH:7][cH:8][cH:9][cH:10][cH:11]1,[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:12][cH:13][c:14]([O:17][CH3:18])[cH:15][cH:16]1)[c:4]1[cH:7][cH:8][cH:9][cH:10][cH:11]1,0,False,False,1,1
238,0.9,328,55,dmso,methanesulfinylmethane,1.0,C/C=C(/C)Nc1ccccc1,CC/C(C)=N/c1ccccc1,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[CH3:4],[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[CH3:4],0,False,False,1,1
239,0.59,328,55,dmso,methanesulfinylmethane,1.0,C/C=C(/C)Nc1ccc(Cl)cc1,CC/C(C)=N/c1ccc(Cl)cc1,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([Cl:12])[cH:10][cH:11]1)[CH3:4],[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([Cl:12])[cH:10][cH:11]1)[CH3:4],0,False,False,1,1
240,0.93,328,55,dmso,methanesulfinylmethane,1.0,C/C=C(/C)Nc1ccc(OC)cc1,CC/C(C)=N/c1ccc(OC)cc1,[C:1](=[CH:2]\[CH3:6])(\[NH:3][c:5]1[cH:7][cH:8][c:9]([O:12][CH3:13])[cH:10][cH:11]1)[CH3:4],[C:1](\[CH2:2][CH3:6])(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([O:12][CH3:13])[cH:10][cH:11]1)[CH3:4],0,False,False,1,1
241,-0.59,328,55,dmso,methanesulfinylmethane,1.0,Clc1ccc(N/C(=C\c2ccccc2)c2ccccc2)cc1,Clc1ccc(/N=C(/Cc2ccccc2)c2ccccc2)cc1,[C:1](=[CH:2]\[c:6]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)(\[NH:3][c:5]1[cH:7][cH:8][c:9]([Cl:22])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][c:6]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([Cl:22])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,0,False,False,1,1
242,0.12,328,55,dmso,methanesulfinylmethane,1.0,COc1ccc(N/C(=C\c2ccccc2)c2ccccc2)cc1,COc1ccc(/N=C(/Cc2ccccc2)c2ccccc2)cc1,[C:1](=[CH:2]\[c:6]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)(\[NH:3][c:5]1[cH:7][cH:8][c:9]([O:22][CH3:23])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,[C:1](\[CH2:2][c:6]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)(=[N:3]/[c:5]1[cH:7][cH:8][c:9]([O:22][CH3:23])[cH:10][cH:11]1)[c:4]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,0,False,False,1,1
243,0.67,328,55,dmso,methanesulfinylmethane,1.0,C(=C(/Cc1ccccc1)Nc1ccccc1)\c1ccccc1,c1ccc(C/C(Cc2ccccc2)=N\c2ccccc2)cc1,[C:1](=[CH:2]\[c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(\[NH:3][c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,[C:1](\[CH2:2][c:6]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)(=[N:3]\[c:5]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[CH2:4][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,0,False,False,1,1
