species_id,tautomer_id,protomer_id,protomer_smiles,is_zwitterion,conformer_qm_count,conformer_labels,conformer_gas_sp_energy_kcal_mol_list,conformer_gas_sp_energy_xtb_kcal_mol_list,conformer_solvation_free_energy_kcal_mol_list,conformer_rrho_contribution_kcal_mol_list,conformer_solution_phase_free_energy_kcal_mol_list,solvation_free_energy_kcal_mol,gas_sp_energy_kcal_mol,gas_sp_energy_xtb_kcal_mol,rrho_contribution_kcal_mol,solution_phase_free_energy_kcal_mol,delta_g_kcal_mol,boltzmann_fraction,workflow_status,connectivity_mismatch,formal_charge,solvent
AYFVYJQAPQTCCC-GBXIJSLDSA-N,0,0,C[C@@H](O)[C@H](N)C(=O)O,False,4,"[""conf 1/4"", ""conf 2/4"", ""conf 3/4"", ""conf 4/4""]","[-275051.8152931981, -275051.21051728155, -275048.4216534534, -275048.8112902781]","[-17740.302755810742, -17740.492493681115, -17736.052665468185, -17737.30684650103]","[-11.555586964871987, -12.300440710584887, -12.665651224489611, -12.64745344974178]","[64.57975231019805, 65.25150328363151, 63.32851456724502, 64.29184168953537]","[-274998.7911278528, -274998.2594547085, -274997.75879011065, -274997.16690203827]",-13.246008931411705,-275052.00175413839,-17740.817642324731,63.147777962351803,-274999.08683318616,8.2125730882980861,9.5530430951730997e-07,conformer_refined,false,0,water
AYFVYJQAPQTCCC-GBXIJSLDSA-N,0,1,C[C@@H](O)[C@H]([NH3+])C(=O)[O-],True,2,"[""conf 1/2"", ""conf 2/2""]","[-275037.32996391074, -275037.3609919952]","[-17722.875059716214, -17722.79523458052]","[-34.061841761619135, -34.080667045841025]","[64.17737128828492, 65.33483975212556]","[-275007.2144343841, -275006.1068192889]",-34.482008441005242,-275037.75636031746,-17723.247169754217,64.098822292363721,-275007.29940627445,0,0.9999990446956899,conformer_refined,false,0,water
AYFVYJQAPQTCCC-GBXIJSLDSA-N,0,2,C[C@@H]([O-])[C@H]([NH3+])C(=O)O,True,2,"[""conf 3/3"", ""conf 1/3""]","[-275022.9636453293, -275019.94577403134]","[-17707.07856055061, -17704.67546958975]","[-26.898821115188845, -29.450902146203475]","[63.45210071767646, 63.48090030891425]","[-274986.4103657268, -274985.91577586863]",-29.45882863098285,-275022.96726970567,-17707.088733936493,63.055646271281972,-274986.6239264516,20.67547982285032,6.9946776700509402e-16,conformer_refined,false,0,water
